,Hard work,Hard work based rank,Hard work based result,Luck,Score [Hard work + luck],Luck based rank,Luck based result,Luck and Hard work
0,110.91265339819915,5425.0,False,125.72373856259365,111.65320765641887,4963.0,False,False
1,109.86408005958825,5728.0,False,49.835177006737,106.86263490694569,6611.0,False,False
2,68.78545634276134,17196.0,False,134.66716402761236,72.07954172700389,16973.0,False,False
3,106.49372103293476,6848.0,False,80.12558845333943,105.175314403955,7249.0,False,False
4,84.23479539241465,14348.0,False,74.39232676941444,83.74267196126465,14667.0,False,False
5,118.0980005141969,3401.0,False,93.21320594506341,116.85376078574022,3490.0,False,False
6,103.58194823659707,7920.0,False,80.84875760196064,102.44528870486525,8243.0,False,False
7,126.72527673042931,1665.0,False,118.67295923910069,126.32266085586288,1537.0,False,False
8,87.30629989282478,13472.0,False,131.1356279811012,89.4977662972386,12945.0,False,False
9,83.55046071949673,14514.0,False,88.7998033028133,83.81292784866255,14652.0,False,False
10,71.89765765398411,16819.0,False,86.93506972720941,72.64952825764537,16904.0,False,False
11,129.96736829134744,1207.0,False,81.44020619529275,127.5410101865447,1343.0,False,False
12,107.98084652177756,6351.0,False,94.43494222944018,107.30355130716069,6450.0,False,False
13,137.55031932528257,533.0,False,107.40427413132365,136.04301706558462,514.0,False,False
14,111.54001714086527,5204.0,False,96.4335760449745,110.78469508607073,5245.0,False,False
15,60.287171580727275,17886.0,False,98.8556528772606,62.21559564555393,17908.0,False,False
16,118.92611887043556,3202.0,False,107.11235816433106,118.33543083513034,3107.0,False,False
17,60.169063264223375,17896.0,False,114.67385003704418,62.894302602864414,17857.0,False,False
18,100.56023895112016,8970.0,False,55.170207266152545,98.29073736687177,9858.0,False,False
19,99.82082865765736,9246.0,False,66.26658313254043,98.14311638140151,9918.0,False,False
20,121.4913933651657,2597.0,False,110.93270530259919,120.96345896203738,2488.0,False,False
21,95.95684184689952,10646.0,False,68.74813913081843,94.59640671109547,11208.0,False,False
22,100.3793759584316,9038.0,False,121.89225030437784,101.4550196757289,8624.0,False,False
23,79.04563172768202,15565.0,False,112.49588536966804,80.71814440978132,15424.0,False,False
24,105.31743589792434,7287.0,False,101.26420696047825,105.11477445105203,7272.0,False,False
25,131.79792255926603,1003.0,False,66.82836113036565,128.549444487821,1230.0,False,False
26,70.83289538974786,16954.0,False,130.10157537428483,73.79632938897471,16744.0,False,False
27,82.06930927151387,14873.0,False,93.74133276090276,82.65291044598331,14950.0,False,False
28,117.23407493881014,3610.0,False,110.62511942721899,116.90362716323058,3476.0,False,False
